@relation converted_data
@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.07,1.85,17.24,100.49,190.25,181.57,55.42,0.14,3.64,22.64,12.88,33.26,67.95,0.22,5.06,55.83,208.7,94.81,104.03,0.45,6.76,8.66,31.22,109.92,0.71,19.39,153.51,163.72,71.66,0.98,3.4,28.72,189.31,3.23,68.71,237.62,142.41,0.62,16.25,200.96,14.44,166.04,420.62,4.12,137.34,49.38,492.99,5
0.07,1.55,25.8,95.35,57.54,423.15,23.26,0.04,1.36,28.58,98.49,126.15,86.2,0.18,7.14,52.12,27.93,266,166.47,0.18,8.73,61.87,78.51,100.41,0.96,17.82,37.74,206.29,179.48,1.29,23.87,45.45,105.9,2.93,21.78,251.7,82.56,4.38,22.21,88.86,5.17,172.79,452.29,5.52,52.59,51,571.47,5
0.08,1.85,32.97,109.7,41.12,231.66,126.98,0.1,1.15,12.03,109.05,246.44,122.72,0.22,9.26,62.7,69.37,122.99,140.7,0.15,3.52,58.46,169.22,113.34,1.26,22.03,58.01,118.32,87.6,0.51,20.47,103.82,66.49,3.68,27.53,201.33,158.78,3.53,47.64,123.75,5.97,146.53,474.29,11.04,120.43,44.18,556.69,5
0.08,2.42,33.2,95.24,74.25,418.29,11.59,0.09,2.92,24.64,33.23,36.76,237.27,0.3,9.88,54.36,52.36,289.76,127.68,0.4,8.94,22.96,53.34,174.72,1.41,19.42,54.83,230.49,206.43,1.48,10.46,38.75,96.54,3.31,29.83,305.84,1.38,2.19,16.25,48.56,6.95,219.34,391.9,3.23,26.04,66.28,563.51,5
0.06,1.18,22.39,59.31,35.38,359.19,55.32,0.1,2.09,27.4,48.99,55.73,226.75,0.15,6.36,31.38,82.56,213.43,154.8,0.27,8.77,31.14,22.54,150.23,0.88,10.84,69.26,214.85,181.6,1.34,12.93,2.53,97.38,1.81,31.84,288.88,46.24,2.52,7.32,76.28,6.69,198.91,400.42,2.56,52.01,58.62,531.31,5
0.19,1.14,19.78,57.5,54.61,364.44,17.67,0.23,4.5,64.66,138.66,71.2,78.81,0.14,6.48,40.83,69.7,257.58,69.4,0.59,21.38,91.37,52.06,15.16,0.99,16.65,53.21,179.37,96.99,3.36,36.97,36.27,46.1,3.09,23.54,240.38,94.03,7.06,19.37,150.38,4.85,176.85,420.47,4.96,157.63,54.12,544.03,5
0.1,2.28,24.05,82.91,82.02,453.2,98.76,0.06,1.88,13.58,47.74,47.38,105.91,0.27,6.86,47.18,90.36,350.62,67.11,0.24,3.94,26.43,7.25,78.27,0.94,16.58,73.77,294.28,113.1,0.56,9.39,18.87,64.56,2.78,35.27,298.49,127.32,1.63,14.3,58.25,7.7,194.2,490.63,3.98,40.17,56.42,603.74,5
0.1,1.43,31.47,92.41,52.81,320.21,107.9,0.16,2.77,9.46,100.63,85.8,171.21,0.17,9.21,55.53,63.85,251.02,213.5,0.37,2.5,66.19,93.57,133.69,1.29,20.2,57.43,206,243.26,0.34,26.63,100.23,130.92,3.46,28.28,242.14,25.9,5.05,58.79,113.9,6.24,168.87,323.72,15.12,76.23,50.59,470.96,5
0.08,2.96,31.04,53.14,158.06,372.46,148.48,0.02,0.27,2.74,16.2,38.75,146.31,0.35,8.74,29.8,123.18,280.16,70.77,0.02,0.79,9.71,7.26,125.5,1.19,10.61,83.35,239.31,2.17,0.12,3.66,10.95,97.99,1.81,37.16,275.74,134.07,0.66,7.79,68.41,7.88,188.2,401.04,2.08,37.41,55.72,492.88,5
0.04,2.7,43.43,113.76,69.79,179.88,108.77,0.14,1.73,23.81,128.85,176.57,128.13,0.32,12.51,64.34,77.68,71.29,130.77,0.24,7.82,84.68,167.49,124.67,1.74,22.68,52.17,182.26,104.81,1.22,33.93,145.76,114.18,3.82,21.36,253.83,110.52,6.41,78.85,155.55,4.18,173.43,413.15,19.56,133.16,51.01,508.5,5
0.01,2.21,29.3,52.97,67.32,463,151.09,0.08,3.12,24.64,37.85,56.24,144.48,0.27,8.65,32.3,107.35,348.72,14.91,0.4,7.95,29.93,59.96,51.58,1.22,11.95,87.6,284.37,132.99,1.23,12.99,61.6,24.41,2.07,40.38,318.52,31.17,2.55,36.15,40.88,8.55,216.98,373.35,9.34,45.29,64.28,520.4,5
0.06,2.74,33.45,88.86,97.8,328.29,159.45,0.06,1.43,11.19,80.97,58.03,98.74,0.32,9.4,49.97,104.06,233.66,177.29,0.18,3.34,47.45,76.43,66.53,1.28,17.39,76.9,177.89,140.18,0.49,17.6,80.18,58.51,2.89,34.57,205.13,66.99,3.15,44.59,93.45,7.28,141.18,341.59,11.01,82.23,41.9,428.85,5
0.05,1.39,10.11,42.31,132.55,340.06,39.46,0.17,4.77,34.5,50.73,95.64,165.66,0.17,3.05,25.27,155.07,291.05,20.87,0.61,10.73,30.35,45.54,94.82,0.44,9.2,119.25,266.66,57.08,1.61,11.72,7.36,51.61,1.58,54.53,275.68,87.34,2.2,7.99,67.63,11.58,180.75,335.8,3.16,69.31,52.84,423.81,5
0.09,2.69,39.16,100.08,75.05,382.55,67.33,0.07,2.93,16.59,41.66,78.42,276.75,0.33,11.77,58.82,14.12,291.35,93.59,0.39,6.39,18.88,96.39,186.64,1.69,21.45,31.22,244.55,219.13,1.11,5.93,74.53,80.6,3.71,19.53,296.26,57.56,1.02,35.41,18.9,4.75,207.77,302.24,8.02,15.36,62.38,480.34,5
0.03,1.35,26.86,64.71,67.68,386.26,64.75,0.15,0.66,24.73,50.82,23.03,125.93,0.16,7.65,35.69,76.6,290.89,96.97,0.08,7.92,40.14,16.86,125.78,1.05,12.38,62.27,222.96,227.91,1.21,17.52,14.85,117.36,2.06,28.97,265,94.94,3.46,10.56,90.11,6.17,185.48,221.28,3.1,49.79,55.49,386.84,5
0.05,2.9,28.86,24.66,114.2,336.98,91.65,0.14,3.26,16.85,36.27,76.48,275.17,0.34,8.32,17.48,137.41,218.25,27.52,0.44,6.22,8.52,48.04,214.63,1.16,7.09,106.29,246.78,103.95,1.04,3.99,20.81,131.74,1.31,48.73,318.77,70.97,1.15,8.89,77.95,10.37,218.46,395.82,2.56,43.95,64.53,522.49,5
0.04,2.38,28.29,86.26,67.47,265.45,98.31,0.02,1.74,23.73,103.86,175.77,127.95,0.28,7.76,43.54,110.62,152.61,100.69,0.22,7.28,60.4,135.9,121.08,1.04,14.1,88.69,156,61.72,1.08,22.42,101.21,100.45,2.23,40.7,232.45,154.65,4.03,51.57,134.42,8.62,164.92,443.08,12.46,117.28,49.26,519.82,5
0.14,0.99,43.74,129.72,92.23,407.21,135.98,0.09,2.67,11.65,42.48,126.15,245.15,0.11,12.71,75.32,70.92,281.16,24.01,0.37,4.38,12.41,94.63,173.62,1.78,27.13,47.76,211.92,102.01,0.75,1.33,44.05,76.52,4.65,20.14,286.31,24.55,0.29,11.81,22.54,4.01,206.88,345.16,1.57,17.53,62.64,497.41,5
0.08,3.23,47.25,89.6,84.32,380.77,8.97,0.07,0.88,13.47,32.03,41.61,239.43,0.39,13.94,53.91,123.6,272.45,120.13,0.13,4.78,22.05,35.46,190.69,1.97,19.81,96.09,264.56,212.72,0.78,9.15,22.45,130.79,3.43,43.41,351.78,17.67,1.77,9.34,84.52,9.1,248.41,377.2,1.94,47.95,74.55,561.2,5
0.2,4.7,34.38,79.76,137.44,255.09,20.17,0.13,1.63,2.14,51.11,114,250.53,0.59,10.72,55.9,156.44,184.8,88.23,0.23,0.47,25.02,90.51,258.07,1.58,22.36,131.31,210.65,167.07,0.16,8.57,59.96,229.11,4.08,64.78,284.79,15.6,1.52,27.86,174.63,14.52,202.49,293.31,6.45,99.81,61.21,438.15,5
0.04,1.8,25.54,82.22,124.98,318.78,239.98,0.03,2.28,21.04,58.24,23.74,100.6,0.21,7.33,43.19,158.44,233.61,268.39,0.29,6.95,38.15,61.69,122.73,1.01,14.47,117.78,211.69,224.43,1.08,15.42,62.14,157.84,2.35,52.07,252.53,15.29,2.93,34.2,166.98,10.79,172.89,338.66,8.47,117.49,51.21,456.47,5
0.02,2.22,32.19,65.58,84.36,421.8,166.34,0.06,3.04,29.74,37.74,54.77,188.62,0.26,9.36,36.71,97.64,309,25.21,0.4,10.29,26.42,49.51,142.56,1.31,12.95,79.67,260.71,87.5,1.65,11.76,33.11,112.97,2.19,37.3,318.72,77.42,2.4,14.85,91.54,7.99,222.2,422.42,3.31,57.81,66.37,563.48,5
0.03,1.39,29.77,85.59,39.57,318.75,66.12,0.15,1.34,36.02,102.99,136.53,141.79,0.16,8.58,50.12,74.06,231.91,79.34,0.16,11.07,61.89,68.96,127.4,1.19,17.93,67.47,192.39,67.72,1.65,23.36,38.21,110.66,3.04,32.75,242.79,132.64,4.24,21.3,132.57,7.14,171.25,430.46,5.67,118.5,51.39,523.87,5
0.02,2.89,36.78,81.9,42.93,418.5,208.48,0.04,0.75,12.37,45.42,36.28,141.56,0.34,10.47,43.13,72.62,318.35,53.54,0.11,3.91,20.47,28.72,157.19,1.44,14.64,70.5,248.87,104.17,0.6,6.42,19.74,122.09,2.41,35.04,295.18,3.56,1.06,11.23,58.07,7.72,206.87,292.35,3.07,23.07,62.02,439.65,5
0.08,2.17,23.25,51.45,109.73,389.54,66.49,0.15,4.45,11.94,74.01,75.87,252.05,0.27,6.88,28.04,88.55,251.65,139.97,0.59,4.83,32.72,76.42,157.35,0.98,10.17,71.53,196.77,140.54,0.85,9.16,50.05,51.49,1.78,35.19,270.24,104.88,1.26,21.9,6.04,7.85,193.29,465.72,4.91,9.36,58.15,585.7,5
0.15,2.37,24.28,62.01,71.7,328.55,43.96,0.26,5.15,26.01,126.13,89.57,151.81,0.3,7.81,43.6,54.9,283.61,109.62,0.7,8.6,89.71,111.31,136.96,1.17,17.57,29.3,259.92,83.59,1.36,37.44,143.83,70.34,3.22,11.36,239.71,136.06,7.25,88.25,20.54,2.41,147.86,426.91,23.08,45.47,42.13,506.94,5
0.16,2.25,41.26,97.71,128.69,346.9,217.11,0.19,4.85,17.09,68.38,74.61,64.39,0.29,12.46,66.89,82.79,270.02,206.43,0.65,4.8,42.65,52.88,81.94,1.79,26.27,59.09,185.71,169.05,0.68,16.84,66.17,100.32,4.73,30.51,207.15,41.31,3.18,42.37,108.1,7.2,150.18,348.16,11.38,79.65,46.16,465.38,5
0.08,2.42,33.2,95.24,74.25,418.29,11.59,0.09,2.92,24.64,33.23,36.76,237.27,0.3,9.88,54.36,52.36,289.76,127.68,0.4,8.94,22.96,53.34,174.72,1.41,19.42,54.83,230.49,206.43,1.48,10.46,38.75,96.54,3.31,29.83,305.84,1.38,2.19,16.25,48.56,6.95,219.34,391.9,3.23,26.04,66.28,563.51,5
0.03,0.35,15.09,87.84,42.4,413.46,13.7,0.08,2.25,23.32,65.57,42.24,224.02,0.04,4.27,42.05,10.39,282.13,171.55,0.29,7.75,41.43,54.82,88.1,0.59,13.2,24.46,213.62,224.64,1.21,16.16,54.15,8.61,2.05,14.33,253.74,3.52,3,30.31,30.89,3.36,174.78,367.07,7.6,38.86,51.74,508.86,5
0.05,1.94,17.33,21.26,73.89,344.22,64.41,0.03,2.41,27.32,57.7,6.33,178.96,0.23,4.71,8.78,117.03,250.79,48.01,0.31,8.49,38.35,31.89,127.27,0.63,2.4,97.68,268.92,104.96,1.27,15.48,41.44,111.03,0.33,45.64,308.91,67.55,2.94,25.85,110.12,9.74,203.42,361.95,6.86,83.59,59.02,469.43,5
0.06,1.15,1.82,85.86,192.87,228.01,208.15,0.05,1.57,11.87,18.64,25.81,114.88,0.13,0.61,45.22,212.3,88.1,164.1,0.2,3.78,13.96,16.61,136.79,0.09,15.07,153.29,193.87,138.37,0.57,5.95,10.64,130.16,2.43,67.17,267.4,264.69,1.16,5.72,98.83,13.87,180.26,459.98,1.49,54.6,52.5,485.22,5
0.09,2.1,19.72,61.31,29.15,417.4,14.08,0.12,3.5,22.53,47.21,51.12,198.14,0.26,5.79,33.34,41.98,262.06,139.82,0.45,7.45,40.68,63.32,118.97,0.82,11.6,40.94,193.69,157.21,1.17,18.41,85.41,46.66,1.95,20.37,239.15,73.62,3.71,52.36,51.22,4.5,164.59,404.95,13.63,52.07,48.53,513.04,5
0.05,1.99,27.09,87.61,114.92,290.16,352.92,0.09,1.71,8.04,94.15,104.75,83.94,0.23,7.43,47.11,119.05,194.5,364.69,0.22,2.74,56.05,120.95,103.1,0.99,15.96,83.34,187.34,236.07,0.44,21.12,107.4,100.19,2.61,36.19,218.51,86.58,3.83,56.42,110.98,7.47,145,434.59,13.62,85.71,42.15,523.9,5
0.11,2.72,23.91,58.61,106.6,308.73,59.94,0.17,3.63,17.8,1.88,80.51,223.6,0.33,7.1,36.54,93.47,276.34,223.94,0.49,6.04,9.07,32.16,203.52,1.01,13.69,75.67,302.34,276.54,0.97,5.71,18.95,180.34,2.4,37.09,321.7,37.57,1.34,16.79,149.78,8.27,208.43,349.65,5.2,95.68,60.44,512.39,5
0.04,2.1,25.87,68.09,137.7,328.13,83.14,0.07,2.77,32.36,97.04,135.29,149.14,0.25,7.28,38.56,146.06,232.16,110.97,0.35,9.97,57.76,113.13,137.67,1,13.46,105.02,213.4,68.82,1.49,21.64,80.81,114.2,2.24,46.33,257.79,171.4,3.9,38.8,101.72,9.64,175.79,482.66,9,78.12,51.86,561.11,5
0.01,2.66,33.42,68.89,28.45,347.56,164.51,0.07,2.99,24.76,63.03,100.05,206.26,0.32,9.61,36.92,87.89,183.8,266.96,0.39,8.41,42.44,95.46,125.35,1.33,12.66,78.54,216.16,263.58,1.33,17.29,73.49,67.15,2.1,37.33,312.5,18.27,3.3,37.19,37.44,8.01,217.74,426.82,8.95,27.86,64.48,579.63,5
0.16,4.36,40.03,88.67,99.46,320.15,179.27,0.06,0.66,16.97,67.44,121.99,98.83,0.54,12.06,57.7,92.76,270.9,127.74,0.08,4.99,38.87,86.59,75.01,1.73,22.13,85.15,159.84,91.83,0.72,14.44,66.66,63.38,3.93,44.45,179.67,81.04,2.6,35.84,96.47,10.25,139.77,343.43,8.94,89.79,44.32,439.6,5
0.08,1.56,31.26,81.3,133.16,440.83,14.89,0.02,2.38,22.52,52.58,53.06,120.04,0.19,9.33,50.5,80.99,312.99,80.71,0.31,7.86,38.88,26.79,81.56,1.33,18.74,50.06,189.54,114.44,1.27,16.79,48.01,54.44,3.25,22.67,237.62,90.28,3.31,31.1,48.33,4.94,175.42,431.93,8.21,45.76,53.69,557.59,5
0.11,3.22,37.64,61.01,121.75,433.37,290.63,0.07,2.23,15.62,11.7,38.51,77.54,0.39,11.06,38.62,120.74,374.77,114.67,0.31,5.37,1.97,26.56,28.33,1.56,14.66,89.71,331.24,46.87,0.87,2.53,22.58,23.23,2.59,40.96,341.03,60.29,0.71,13.94,32.43,8.75,225.82,362.58,3.81,30.24,66.46,499.61,5
0.05,1.77,20.95,71.67,39.87,181.66,66.26,0.16,3.93,33.2,141.21,186.58,117.78,0.21,5.86,40.8,93.89,92.09,42.59,0.51,10.81,85.83,157.73,99.68,0.8,14.4,83.96,146.6,15.59,1.68,33.18,126.69,94.34,2.43,40.84,209.79,206.24,6.15,66.05,105.34,8.96,145.86,438.07,16.07,78.55,43.28,479.59,5
0.09,1.75,29.05,77.34,111.36,438.53,167.8,0.16,4.01,9.22,55.99,65.89,170.5,0.21,8.39,46.22,121.68,285.39,6.89,0.51,3.01,34.02,77.49,144.51,1.17,16.87,97.49,246.76,106.38,0.47,13.14,67.57,102.53,2.91,46.35,320.93,65.33,2.44,36.29,51.72,10.12,224.73,414.28,9,14.8,67.07,556.87,5
0.08,1.76,16.07,28.96,164.83,363.88,155.14,0.18,4.93,43.36,95.82,85.33,92.7,0.23,5.01,19.78,148.99,293.86,55.28,0.66,14.2,60.99,48.72,25.51,0.74,7.94,102.47,271.41,17.81,2.21,24.21,19.27,69.41,1.46,44.99,296.25,129.29,4.57,11.47,89.24,9.42,197.97,410.9,3.76,83.29,58.29,510.04,5
0.05,1.64,7.84,18.43,56.32,266.55,81.83,0.15,3.38,8.91,68.19,97.18,286.87,0.19,2.3,11.23,110.96,132.78,209.67,0.43,3.05,34.1,95.98,206.59,0.32,4.07,93.66,232.96,214.63,0.48,11.43,74.14,133.05,0.69,43.83,295.58,26.07,1.92,37.42,88.26,9.36,194.53,361.77,8.99,51.96,56.06,478.56,5
0.15,0.58,31.51,74.07,153.3,359,74.37,0.27,7.78,20.44,61.74,67.79,179.55,0.07,9.7,51.42,150.83,294.14,11.16,1.05,6.83,49.85,41.11,188,1.41,20.51,100.64,292.9,74.89,1.08,22.42,81.99,150.58,3.74,41.71,350.43,84.21,4.55,58.17,75.7,8.27,241.85,431.18,16.33,17.75,72.22,581.52,5
0.04,2.27,29.07,85.72,75.61,477.35,185.93,0.09,2.39,16.33,32.98,111.54,177.22,0.27,8.39,45.38,41.87,329.45,26.53,0.32,5.81,12.04,72.81,142,1.17,15.37,42.52,192.06,95.02,0.95,4.22,30.64,79.81,2.52,22.98,257.55,73.58,0.94,7.54,29.2,5.3,192.1,425.66,1.08,7.04,58.86,569.09,5
0.04,2.01,18.53,2.24,116.81,430.39,217.28,0.21,5.53,26.19,38.38,41.13,144.1,0.25,5.47,2.25,159.91,339.03,85.9,0.71,8.53,35.49,90.85,117.79,0.78,1.38,128.12,276.14,60.38,1.33,16.75,97.38,88.82,0.31,59.6,324.45,43.41,3.45,55.86,66.48,12.78,228.05,344.37,14.19,47.21,68.71,487.95,5
0.14,3.44,41.06,119.29,124.21,289.81,90.49,0.22,3.21,21.12,108.43,130.4,155.14,0.42,12.08,70.38,114.8,192.24,17.97,0.46,7.17,76.75,135.11,87.08,1.71,25.56,80.74,195.61,24.05,1.16,32.26,130.29,33.36,4.4,36.55,234.3,226.17,6.29,73.82,110.13,7.87,158.14,502.98,18.76,97.76,46.55,562.1,5
0.13,3.03,19.61,35.48,19.6,339.55,78.35,0.19,4.08,20.09,86.84,63.52,250.03,0.38,6.23,24.09,73.31,156.82,248.95,0.55,7.61,63.54,130.73,134.85,0.93,9.88,73.02,227.7,276.42,1.3,27.51,136.01,49.37,1.85,37.21,314.67,10.12,5.48,77.72,11.02,8.39,214.43,385.97,19.78,35.36,62.91,539.44,5
0.04,0.32,19.12,99.24,97.1,309.01,83.64,0.16,2.84,26.26,104.56,180.18,122.72,0.04,5.25,54.39,123.57,202.35,105.57,0.36,8.07,58.95,128.95,95.44,0.7,18.62,96.26,141.31,79.34,1.2,21.33,74.94,69.66,3.06,44.32,206.7,137.16,3.76,30.47,110.63,9.46,151.02,433.78,6.32,100.29,45.74,517.96,5
0.09,0.37,21.57,53.69,93.21,357.16,241.2,0.15,3.84,11.1,114.97,205.49,113.15,0.03,6.54,38.22,97.25,245.44,144.79,0.52,3.81,85.22,209.23,129.98,0.94,15.19,66.93,164,41.27,0.61,36.09,185.81,72.34,2.74,28.53,205.89,118.82,7.01,101.85,25.73,5.81,148.78,330.36,25.5,45.37,45.13,412.25,5
0.02,1.8,23.92,70.49,129.37,230.67,52.16,0.06,1.67,24.52,92.13,163.23,125.55,0.21,6.58,36.79,145.14,164.7,22.31,0.21,7.44,52.8,118.79,73.46,0.88,12.21,103.94,240.77,44.68,1.1,19.31,84.56,30.53,1.97,45.33,285.65,247.34,3.43,42.26,100.8,9.34,186.66,514.59,10.12,99.35,53.85,562.97,5
0.03,1.15,29.24,111.5,6.65,372.83,18.95,0.04,2.88,17.6,37.27,33.47,210.37,0.13,8.21,60.86,35.17,273.29,232.7,0.35,5.34,27.74,75.73,191.58,1.12,20.77,35.71,258.44,311.16,0.79,11.77,78.16,132.25,3.41,18.06,284.48,77.29,2.28,43.69,70.24,4.02,186.12,308.99,10.9,33.82,53.86,476.35,5
0.08,1.01,20.13,88.45,63.9,470.94,48.01,0.16,5.23,26.77,32.7,12.07,144.13,0.13,6.28,54.1,13.43,321.66,102.83,0.67,7.84,33.68,100.94,85.13,0.92,19.95,8.27,178.55,176.33,1.13,16.29,128.32,20.08,3.45,7.55,222.36,38.56,3.39,77.25,48.45,2.04,164.68,411.11,20,58.74,50.33,558.3,5
0.09,1.43,32.08,87.31,113.26,385.1,52.88,0.13,0.46,31.72,98.02,75.19,61.61,0.18,9.42,53.69,90.81,270.26,103.9,0.05,9.85,63.48,29.68,49.13,1.32,19.8,66.32,225.73,110.39,1.47,25.43,25.27,41.86,3.42,30.91,277.66,115.01,4.81,19.03,57.69,6.71,193.24,459.76,5.49,56.54,57.63,575.66,5
0.05,1.8,33.98,96.62,54.74,479.56,229.45,0.14,1.9,9.75,61.54,49.93,108.46,0.22,9.87,53.32,83.18,326.01,7.47,0.25,3.35,46.64,21.73,52.38,1.38,18.51,69.12,282.27,144.1,0.54,20.32,49.99,31.17,3.09,32.29,342.65,27.35,4.04,35.64,41.65,6.89,234.97,400.1,9.94,40.2,69.5,562.4,5
0.01,0.58,8.37,32.53,88.64,289.75,95.49,0.04,0.95,9.09,56.17,82.19,38.84,0.06,2.23,19.33,45.68,146.14,290.57,0.11,2.54,29.03,77.81,128.22,0.29,6.87,43.02,169.44,273.66,0.35,9.81,58.03,210.49,1.15,22.51,216.29,9.84,1.64,27.99,229.85,5.08,142.17,356.95,6.47,159.43,40.76,464.93,6
0.02,0.23,4.46,17.53,86.49,415.06,49.56,0.06,2.01,21.6,117.26,190.76,102.78,0.03,1.29,13.74,10.81,253.55,135.75,0.25,6.28,61.08,148.15,132.07,0.18,5.49,36.35,134.27,178.91,0.9,20.68,84.51,127.25,0.98,22.58,186.45,38.84,3.46,32.6,127.09,5.41,136.82,358.99,6.42,94.43,41.32,468.51,6
0.05,1.29,14.05,62.5,92.72,485.81,138.24,0.02,0.76,8.92,23.09,201.12,33.67,0.15,3.84,31.34,59.04,299.02,82.58,0.09,2.68,12.66,176.05,85.32,0.51,10.26,58.28,111.75,148.33,0.39,5.22,113.9,128.05,1.65,30.84,205.09,106.8,1.04,49.37,130.6,7.04,161.57,495.77,10.68,86.48,49.97,621.1,6
0.08,1.8,37.26,97.39,89.24,476.74,186.8,0.07,2.55,9.96,40.62,136.58,49.23,0.22,10.86,55.93,15.38,310.41,17.1,0.34,3.76,18.11,110.85,96.16,1.52,19.94,37.78,199.27,156.72,0.64,5.22,64.42,154.02,3.39,23.45,292.34,27.59,0.76,24.92,145.5,5.66,216.77,418.15,4.9,86.39,66.17,589.18,6
0.05,1.59,15.92,57.19,130.16,385.25,76.36,0.06,1.56,22.38,91.47,86.42,115.23,0.18,4.21,25.63,77.64,252.04,104.75,0.2,6.93,57.1,65.26,96.96,0.55,7.63,48.55,117.17,158.55,1.03,22.05,70.72,115.45,1.14,22.27,149.94,23.29,4.06,41.5,171.23,4.87,114.02,303.99,10.57,140.11,35.03,405.01,6
0.02,1.31,17.16,64.04,135.52,422.72,94.74,0.07,0.31,22.41,113.41,84.28,271.71,0.16,5,32.6,78.63,278.87,230.32,0.03,7.14,78.72,142.53,175.45,0.7,10.66,40.1,130.33,203.64,1.09,32.02,137.93,52.34,1.7,15.87,176.18,102.69,6.06,75.25,121.45,3.26,134.99,497.2,18.57,118.47,41.61,613.14,6
0.02,1.34,24.72,112.03,193.41,322.8,12.51,0.03,0.98,19.11,74.5,117.46,56.75,0.16,6.91,57.36,128.04,204.08,124.94,0.14,6.27,43.77,97.29,101.82,0.94,18.77,69.41,145.53,159.61,0.97,16.16,76.02,170.97,2.99,26.49,197.83,48.65,2.88,38.94,225.66,5.12,140.59,363.81,9.36,179.21,42.01,474.24,6
0.03,1.26,16.84,84.87,142.34,277.73,66.89,0.05,1.53,13.21,64.55,51.76,100.04,0.15,4.68,44.44,120.36,146.07,92.98,0.18,3.79,35.73,73.83,126.67,0.63,14.79,84.5,209.66,98.55,0.54,12.6,60.52,211.46,2.39,37.67,257.79,143.49,2.17,29.64,253.03,7.92,167.86,458.61,6.83,183.3,48.08,536.9,6
0.02,0.98,17.5,92.68,128.66,430.75,42.44,0.06,1.65,17.22,107.77,174.02,224.31,0.12,5,49.2,101.89,279.67,131.55,0.21,5.31,64.61,181.74,168.85,0.69,16.56,73.41,116.27,187.83,0.79,24.24,136.57,90.69,2.7,34.06,171.63,23.81,4.37,65.76,104.99,7.38,134.7,357.62,15.2,91.46,41.79,481.91,6
0.02,1.8,29.98,119.56,142.9,415.39,73.42,0.13,2.46,5.17,74.92,85.79,109.52,0.22,8.71,66.53,123.93,258.42,97.91,0.31,1.87,50.17,130.48,52.06,1.21,23.12,90.22,154.07,134.66,0.31,20.14,121.75,151.69,3.85,41.54,224.42,112.77,3.8,64.96,224.61,8.95,165.77,480.24,15.81,173.95,50.41,597.62,6
0.02,0.89,9.5,39.57,17.19,290,20.04,0.05,1.3,14.24,65.19,203.94,116.28,0.1,2.48,20.91,66.25,98.57,167.96,0.16,4.28,33.63,111.9,173.66,0.32,6.98,61.14,123.6,153.19,0.63,12.02,44.22,174.27,1.13,29.28,197.6,83.29,2.14,14.49,159.01,6.3,135.19,373.62,3.31,110.4,39.29,450.4,6
0.04,2.27,21.6,33,55.72,362.93,148.73,0,0.7,6.26,39.19,122.94,54.95,0.26,5.89,15.61,92.77,200.43,1.21,0.08,1.72,17.84,107.62,106.2,0.79,4.97,80.39,237.04,43.05,0.24,5.39,68.32,141.95,0.79,37.73,296.2,161.12,0.82,28.73,134.38,8.03,195.54,462.77,6.03,84.64,56.39,542.85,6
0.04,0.72,22.61,107.97,183.97,372.85,116.53,0.14,3.22,8.83,67.28,84.02,51.26,0.09,6.43,55.09,111.22,250.86,27.65,0.41,2.41,51.28,134.54,60.97,0.88,18.04,53.33,162.76,78.78,0.33,21.76,141.04,135.85,2.88,18.34,199.2,111.38,4.22,79.25,207.85,3.32,142.14,413.61,19.8,169.88,42.77,510.61,6
0.04,1.53,14.77,70.57,142.65,460.07,222.7,0.1,1.65,7.87,39.28,78.91,70.5,0.17,3.99,32.13,64.88,241.18,87.18,0.2,2.79,29.76,31.96,99.26,0.53,9.67,30.8,159.16,256.61,0.45,12.66,18.52,98.12,1.45,14.28,259.53,68.42,2.45,12.25,75.37,3.29,186.45,313.81,3.4,42.45,55.57,488,6
0,0.49,10.05,47.95,23.09,293.39,100.99,0.11,2.74,30.64,120.23,238.32,238.46,0.06,2.99,29.85,77.68,144.35,47.88,0.34,9.05,64.01,148.66,192.84,0.42,10.98,73.11,161.3,80.53,1.31,22.28,70.55,71.06,1.89,35.98,230.82,124.27,3.83,24.49,112.32,7.91,159.21,421.58,4.8,118.95,46.84,506.79,6
0,0.42,7.17,32.36,125.29,465.46,109.22,0.03,1.13,11.33,35.41,82.04,56.23,0.05,1.85,10,33.27,221.98,189.19,0.15,3.62,18.28,40.54,97.26,0.24,1.98,37.95,119.4,274.49,0.55,6.38,12.03,139.96,0.22,23.82,255.44,12.83,1.11,0.92,144.64,5.79,188.93,451.18,0.42,98.66,56.79,611.06,6
